"","dayofweek","visib","num_accidents"
"155",4,7.5,0.591743119266055
"156",5,9.8,0.559633027522936
"157",6,10,0.573394495412844
"158",7,7.7,1
"159",1,4.8,0.495412844036697
"160",2,6.9,0.408256880733945
"161",3,9.3,0.61697247706422
"162",4,1.8,0.642201834862385
"163",5,8.1,0.596330275229358
"164",6,10,0.410550458715596
"165",7,7,0.775229357798165
"166",1,10,0.552752293577982
"167",2,8.9,0.279816513761468
"168",3,7,0.594036697247706
"169",4,3.1,0.591743119266055
"170",5,8.4,0.612385321100917
"171",6,9.6,0.747706422018349
"172",7,10,0.768348623853211
"173",1,10,0.559633027522936
"174",2,9.8,0.344036697247706
"175",3,2.8,0.745412844036697
"176",4,8.4,0.672018348623853
"177",5,6.1,0.610091743119266
"178",6,3.1,0.557339449541284
"179",7,2.1,0.580275229357798
"180",1,1.4,0.541284403669725
"181",2,1.9,0.155963302752294
"182",3,4.1,0.637614678899083
"183",4,4,0.564220183486238
"184",5,2.5,0.642201834862385
"185",6,1.8,0.190366972477064
"186",7,6.8,0.506880733944954
"187",1,8.1,0.369266055045872
"188",2,9,0.275229357798165
"189",3,6.7,0.600917431192661
"190",4,5.7,0.522935779816514
"191",5,1.9,0.594036697247706
"192",6,4.9,0.447247706422018
"193",7,3.1,0.559633027522936
"194",1,3.3,0.504587155963303
"195",2,4.5,0.26605504587156
"196",3,9.3,0.518348623853211
"197",4,8.3,0.520642201834862
"198",5,9.9,0.582568807339449
"199",6,8.1,0.644495412844037
"200",7,2.8,0.784403669724771
"201",1,3.3,0.44954128440367
"202",2,6.6,0.211009174311927
"203",3,5.6,0.541284403669725
"204",4,3.7,0.495412844036697
"205",5,5.7,0.495412844036697
"206",6,9.7,0.348623853211009
"207",7,6,0.600917431192661
"208",1,9.6,0.369266055045872
"209",2,5.7,0.298165137614679
"210",3,6.5,0.555045871559633
"211",4,7.8,0.525229357798165
"212",5,10,0.454128440366972
"213",6,9.8,0.660550458715596
"214",7,9.5,0.621559633027523
"215",1,7.2,0.314220183486239
"216",2,9,0.227064220183486
"217",3,10,0.435779816513761
"218",4,10,0.431192660550459
"219",5,9.9,0.350917431192661
"220",6,10,0.444954128440367
"221",7,9.3,0.513761467889908
"222",1,6.4,0.321100917431193
"223",2,10,0.288990825688073
"224",3,10,0.376146788990826
"225",4,4.6,0.451834862385321
"226",5,8.3,0.612385321100917
"227",6,10,0.559633027522936
"228",7,10,0.740825688073395
"229",1,10,0.341743119266055
"230",2,8.4,0.19954128440367
"231",3,9.5,0.245412844036697
"232",4,9.5,0.428899082568807
"233",5,7.1,0.474770642201835
"234",6,3.9,0.511467889908257
"235",7,7.8,0.644495412844037
"236",1,10,0.394495412844037
"237",2,10,0.238532110091743
"238",3,10,0.380733944954128
"239",4,4.5,0.346330275229358
"240",5,3.9,0.291284403669725
"241",6,5.8,0.497706422018349
"242",7,9.9,0.559633027522936
"243",1,7,0.286697247706422
"244",2,7.5,0.286697247706422
"245",3,7,0.174311926605505
"246",4,2,0.44954128440367
"247",5,8.9,0.571100917431193
"248",6,10,0.31651376146789
"249",7,10,0.387614678899083
"250",1,10,0.527522935779816
"251",2,10,0.33256880733945
"252",3,10,0.635321100917431
"253",4,10,0.628440366972477
"254",5,6.8,0.506880733944954
"255",6,5.3,0.779816513761468
"256",7,6.1,0.681192660550459
"257",1,10,0.376146788990826
"258",2,10,0.277522935779817
"259",3,10,0.493119266055046
"260",4,10,0.623853211009174
"261",5,10,0.495412844036697
"262",6,10,0.415137614678899
"263",7,9.5,0.63302752293578
"264",1,9.9,0.438073394495413
"265",2,8.8,0.527522935779816
"266",3,10,0.701834862385321
"267",4,10,0.596330275229358
"268",5,10,0.422018348623853
"269",6,10,0.369266055045872
"270",7,10,0.454128440366972
"271",1,10,0.440366972477064
"272",2,10,0.346330275229358
"273",3,9.8,0.573394495412844
"274",4,10,0.598623853211009
"275",5,9.3,0.669724770642202
"276",6,10,0.538990825688073
"277",7,9.3,0.694954128440367
"278",1,9.6,0.325688073394495
"279",2,6.9,0.112385321100917
"280",3,8.5,0.603211009174312
"281",4,8.7,0.502293577981651
"282",5,10,0.399082568807339
"283",6,10,0.467889908256881
"284",7,10,0.610091743119266
"285",1,10,0.461009174311927
"286",2,10,0.337155963302752
"287",3,10,0.194954128440367
"288",4,10,0.596330275229358
