"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","visib","number_of_accidents"
"130",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2013,3.7,0.385321100917431
"131",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2013,3.3,0.394495412844037
"132",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2013,9.9,0.509174311926605
"133",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2013,9.8,0.481651376146789
"134",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2013,10,0.405963302752294
"135",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2013,7.1,0.467889908256881
"136",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2013,9.9,0.885321100917431
"137",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2013,10,0.346330275229358
"138",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2013,9.3,0.43348623853211
"139",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2013,2.9,0.692660550458716
"140",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2013,0.3,0.784403669724771
"141",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2013,2.5,0.493119266055046
"142",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2013,3,0.871559633027523
"143",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2013,2.1,0.717889908256881
"144",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2013,4.6,0.364678899082569
"145",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2013,9.3,0.229357798165138
"146",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2013,10,0.149082568807339
"147",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2013,9.9,0.759174311926605
"148",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2013,4.9,0.502293577981651
"149",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2013,6.1,0.756880733944954
"150",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2013,6.7,0.873853211009174
"151",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2013,7,0.63302752293578
"152",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2013,4.6,0.302752293577982
"153",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2013,2,0.807339449541284
"154",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2013,7.5,0.591743119266055
"155",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2013,9.8,0.559633027522936
"156",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2013,10,0.573394495412844
"157",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2013,7.7,1
"158",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2013,4.8,0.495412844036697
"159",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2013,6.9,0.408256880733945
"160",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2013,9.3,0.61697247706422
"161",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2013,1.8,0.642201834862385
"162",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2013,8.1,0.596330275229358
"163",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2013,10,0.410550458715596
"164",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2013,7,0.775229357798165
"165",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2013,10,0.552752293577982
"166",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2013,8.9,0.279816513761468
"167",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2013,7,0.594036697247706
"168",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2013,3.1,0.591743119266055
"169",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2013,8.4,0.612385321100917
"170",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2013,9.6,0.747706422018349
"171",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2013,10,0.768348623853211
"172",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2013,10,0.559633027522936
"173",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2013,9.8,0.344036697247706
"174",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2013,2.8,0.745412844036697
"175",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2013,8.4,0.672018348623853
"176",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2013,6.1,0.610091743119266
"177",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2013,3.1,0.557339449541284
"178",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2013,2.1,0.580275229357798
"179",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2013,1.4,0.541284403669725
"180",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2013,1.9,0.155963302752294
"181",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,4.1,0.637614678899083
"182",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,4,0.564220183486238
"183",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,2.5,0.642201834862385
"184",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,1.8,0.190366972477064
"185",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,6.8,0.506880733944954
"186",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,8.1,0.369266055045872
"187",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,9,0.275229357798165
"188",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,6.7,0.600917431192661
"189",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,5.7,0.522935779816514
"190",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,1.9,0.594036697247706
"191",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,4.9,0.447247706422018
"192",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,3.1,0.559633027522936
"193",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,3.3,0.504587155963303
"194",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,4.5,0.26605504587156
"195",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,9.3,0.518348623853211
"196",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,8.3,0.520642201834862
"197",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,9.9,0.582568807339449
"198",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,8.1,0.644495412844037
"199",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,2.8,0.784403669724771
"200",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,3.3,0.44954128440367
"201",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,6.6,0.211009174311927
"202",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,5.6,0.541284403669725
"203",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,3.7,0.495412844036697
"204",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,5.7,0.495412844036697
"205",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,9.7,0.348623853211009
"206",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,6,0.600917431192661
"207",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,9.6,0.369266055045872
"208",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,5.7,0.298165137614679
"209",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,6.5,0.555045871559633
"210",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,7.8,0.525229357798165
"211",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,10,0.454128440366972
"212",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,9.8,0.660550458715596
"213",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,9.5,0.621559633027523
"214",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,7.2,0.314220183486239
"215",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,9,0.227064220183486
"216",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,10,0.435779816513761
"217",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,10,0.431192660550459
"218",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,9.9,0.350917431192661
